,exrept,results
1841, a high ZT of 1.12 was achieved at 773 K for In0.1Co4sb11Te0.8Ge0.2 synthesized at 2 GPa.),"[{'Pressure': {'raw_value': '2', 'raw_units': 'GPa', 'value': [2.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['In0.1Co4sb11Te0.8Ge0.2']}}}}]"
1859,A maximum ZT ~ 2.1 at 723 K and a maximum microhardness ~ 1.98 GPa at room temperature were achieved in GeTe-based thermoelectric materials.),"[{'Pressure': {'raw_value': '~ 1.98', 'raw_units': 'GPa', 'value': [1.98], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['GeTe-based']}}}}]"
2251, a maximum ZT value of 1.74 at 1000 K is achieved in n-type LaPtBi under pressure of 21.0 GPa.),"[{'Pressure': {'raw_value': '21.0', 'raw_units': 'GPa', 'value': [21.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['n-type LaPtBi']}}}}]"
2252,The maximum figure of merit ZT of n-type LaPtBi can reach 1.74 at 1000 K under hydrostatic pressure of 21.0 GPa),"[{'Pressure': {'raw_value': '21.0', 'raw_units': 'GPa)', 'value': [21.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['n-type LaPtBi']}}}}]"
2253,A maximum ZT value of 1.74 is achieved for n-type LaPtBi at 1000 K under hydrostatic pressure of 21.0 GPa.),"[{'Pressure': {'raw_value': '21.0', 'raw_units': 'GPa', 'value': [21.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['n-type LaPtBi']}}}}]"
2324,And the maximum ZT value of 0.98 was reached by the sample Co4Sb11.2Te0.8 synthesized at 2.3 GPa and 673 K.),"[{'Pressure': {'raw_value': '2.3', 'raw_units': 'GPa', 'value': [2.3], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Co4Sb11.2Te0.8']}}}}]"
2327, total thermal conductivity and figure of merit ZT values of p-type SiGe before and after 1015 n/cm2 irradiation and heat treatment at 623 K for 2 h.),
2461,A maximum ZT was achieved 0.12 for PEDOT:PSS/BNNSs5 hybrid thin film at room temperature by combining the composite and the dual-solvent treatment.),
2614, Poudel et al. and Ma et al. reported an extensive ball milling technique in an inert atmosphere followed by a hot pressing process yielding a p-type Bi2Te3-based nanocrystalline material with enhanced ZT of ∼1.4 at approximately 380 K.),
2722, a large ZT value of 1.0 has been obtained for Ba0.25Pb0.05Co4Sb11.5Te0.5 (which was prepared at 2.3 GPa) at 730 K.),"[{'Pressure': {'raw_value': '2.3', 'raw_units': 'GPa)', 'value': [2.3], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Ba0.25Pb0.05Co4Sb11.5Te0.5']}}}}]"
2767,{  at room - temperature }:  even lower ZT values (0.02–0.06) or non-comprehensive TE properties are often reported for SiGe films fabricated using various techniques ranging from atmospheric pressure chemical vapor deposition (APCVD)),
2808,ZT values as high as ∼2.6 at 923 K for SnSe single crystals and ∼1.6 at 923 K for Sn0.86Mn0.14Te(Cu2Te)0.05-5 atm% Sn were recently reported),
2809, with high reported ZT values of ∼1.6 at about 923 K for Sn0.86Mn0.14Te(Cu2Te)0.05-5 atm% Sn and ∼2.6 at about 920 K for single crystal SnSe.),
2818, an impressively low lattice thermal conductivity of ∼0.2 W−1 K−1 and a peak ZT of 1.1 were obtained at 773 K perpendicular to the pressing direction in 1 atm% K-doped SnSe.),"[{'Pressure': {'raw_value': '1', 'raw_units': 'atm', 'value': [1.0], 'units': 'Atmospheres^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['doped SnSe']}}}}]"
3325,The maximum ZT of Bi0.4Sb1.6Te3 bulk material with 0.1 wt.% CNTs is 1.42 at 373 K and 4 GPa.),"[{'Pressure': {'raw_value': '4', 'raw_units': 'GPa', 'value': [4.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Bi0.4Sb1.6Te3 bulk material with 0.1 wt. % CNTs']}}}}]"
3327,The maximum ZT of 1.42 is obtained at 373 K for Bi0.4Sb1.6Te3 bulk with 0.1wt% CNTs at 4 GPa.),"[{'Pressure': {'raw_value': '4', 'raw_units': 'GPa', 'value': [4.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Bi0.4Sb1.6Te3 bulk with 0.1wt % CNTs']}}}}]"
3333, we obtained a ZT value of 1.3 at 510 K in Bi0.5Sb1.5Te3 bulk through a high-pressure synthesis (at 3.8 GPa) .),"[{'Pressure': {'raw_value': '3.8', 'raw_units': 'GPa)', 'value': [3.8], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Bi0.5Sb1.5Te3 bulk']}}}}]"
3357,"The fabricated Cu1.97S bulks show excellent thermoelectric performance, with zT as high as ∼1.9 at 973 K, and good mechanical properties with a Vickers hardness of ∼1.0 GPa.)","[{'Pressure': {'raw_value': '∼ 1.0', 'raw_units': 'GPa', 'value': [1.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Cu1.97S bulks']}}}}]"
3521,"To further increase the figure of merit of (Bi2Se3)0.05(Bi2Te3)0.95, after hot pressing at 450°C, 1.2 GPa for 1 h, the sample was annealed at the same temperature for another 2 h.)","[{'Pressure': {'raw_value': '1.2', 'raw_units': 'GPa', 'value': [1.2], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['(Bi2Se3)0.05(Bi2Te3)0.95']}}}}]"
3531,The predicted thermoelectric figure of merit (ZT) for Sr3SbN and Sr3BiN at 15 GPa and 600 K are 0.71 and 0.63),"[{'Pressure': {'raw_value': '15', 'raw_units': 'GPa', 'value': [15.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Sr3SbN']}}}}]"
3532,ZT values for Sr3SbN and Sr3BiN at 15 GPa are 0.71 (at 600 K) and 0.63 (at 300 K)),"[{'Pressure': {'raw_value': '15', 'raw_units': 'GPa', 'value': [15.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Sr3SbN']}}}}]"
3533,The obtained ZT values for Sr3SbN and Sr3BiN using TB-mBJ+SOC potential at 15 GPa and 600 K are 0.71 and 0.22),"[{'Pressure': {'raw_value': '15', 'raw_units': 'GPa', 'value': [15.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Sr3SbN']}}}}]"
3534,"The lattice thermal conductivity of both compounds decreases with pressure and the predicted figure of merit (ZT) for Sr3SbN and Sr3BiN at 600 K and 15 GPa, are 0.71 and 0.22, respectively.)","[{'Pressure': {'raw_value': '15', 'raw_units': 'GPa', 'value': [15.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'pressure', 'compound': {'Compound': {'names': ['Sr3SbN']}}}}]"
3756,The power factor (PF) and the ZT value for Pb/SnSe increases to xx μW/m/K2 and 1.12 at 773 K after annealing treatment),
3758,The ZT for the Pb/SnSe sample increases to 1.12 at 773 K after annealing treatment),
3904, a maximum zT of 0.86 at 873 K can be achieved for the BiCuSe0.8Te0.2O prepared under 2.5 GPa in 30 min),"[{'Pressure': {'raw_value': '2.5', 'raw_units': 'GPa', 'value': [2.5], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['BiCuSe0.8Te0.2O']}}}}]"
4220,{ figure of merit }:  1.8 at 800 K for Sr0.07Ba0.07Yb0.07Co4Sb12 after HPT treatment and 1.9 at 835 K for Sr0.09Ba0.11Yb0.05Co4Sb12.),
4779,For the samples densified in the graphite mould at 700 °C and 50 MPa and at 800 °C and 50 MPa the optimum ZT values are 0.17 for Ti1.078S2 and 0.03 for Ti1.107S2),"[{'Pressure': {'raw_value': '50', 'raw_units': 'MPa', 'value': [50.0], 'units': '(10^6.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Ti1.078S2']}}}}]"
4780,The optimum ZT value of 0.32 is achieved at 375 °C in the cross-plane direction for the Ti1.017S2 *process* and 200 MPa.),"[{'Pressure': {'raw_value': '200', 'raw_units': 'MPa', 'value': [200.0], 'units': '(10^6.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Ti1.017S2']}}}}]"
4890,A maximum ZT = 1.26 at 423 K is achieved for Bi0.4Sb1.6Te3 with 0.05 wt% graphene at 4 GPa.),"[{'Pressure': {'raw_value': '4', 'raw_units': 'GPa', 'value': [4.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Bi0.4Sb1.6Te3 with 0.05 wt % graphene']}}}}]"
4891,ZT = 1.26 at 423 K is achieved for Bi0.4Sb1.6Te3 bulk with 0.05 wt% graphene at 4 GPa.),"[{'Pressure': {'raw_value': '4', 'raw_units': 'GPa', 'value': [4.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Bi0.4Sb1.6Te3 bulk with 0.05 wt % graphene']}}}}]"
5331,The maximum value of ZT has also been observed to be 1.12 at zero GPa at a carrier concentration of n = 1019 per cm−3 at 800 K for n -type of Sb2Se3.),
5336,{  at 300 to 460 K }: The nanocrystalline Bi2Te3 bulk fabricated under 2 GPa exhibits good thermoelectric properties with ZT over 0.8 from 300),"[{'Pressure': {'raw_value': '2', 'raw_units': 'GPa', 'value': [2.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['nanocrystalline Bi2Te3 bulk']}}}}]"
5406,The highest value of figure of merit (ZT) = 0.95 is found at 9.378 GPa at a carrier concentration of n = 1 × 10^18 cm-3 at 250 K for p-type of ZrNiPb.),"[{'Pressure': {'raw_value': '9.378', 'raw_units': 'GPa', 'value': [9.378], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['ZrNiPb']}}}}]"
5422,The highest value of ZT = 0.95 at all pressures is found at 9.378 GPa at a carrier concentration of n = 1 × 10^18 cm-3 at 250 K for p-type of ZrNiPb.),"[{'Pressure': {'raw_value': '9.378', 'raw_units': 'GPa', 'value': [9.378], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['ZrNiPb']}}}}]"
5556, a figure of merit (∼ 0.75) at room temperature for pristine Sb2Te3 with a poorer mechanical property (hardness value of ∼ 0.55 GPa).),"[{'Pressure': {'raw_value': '∼ 0.55', 'raw_units': 'GPa)', 'value': [0.55], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['pristine Sb2Te3']}}}}]"
5610,"Mechanical grinding (MG) was used as a post synthesis treatment with ZnSb prepared by melt synthesis and subsequent hot-pressing, and revealed a zT = 0.8 at 550 K.)",
5742,The thermoelectric figure of merit (ZT) of the Co4Sb11.5Te0.5 + 0.25 vol% CNTs synthesized at 3.5 GPa reaches 1.32 at 773 K),"[{'Pressure': {'raw_value': '3.5', 'raw_units': 'GPa', 'value': [3.5], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Co4Sb11.5Te0.5 + 0.25 vol % CNTs']}}}}]"
5818, the annealed ingots were finely ground and hot pressed at 1100 °C for 2 h under an axial pressure of 60 MPa and achieved a maximum ZT of 0.35–0.5 at 850 K. Zamanipour et al. [] obtained a maximum ZT of 0.55 at 600 °C for an MnSi1.75 sample fabricated by ball milling for 50 h),"[{'Pressure': {'raw_value': '60', 'raw_units': 'MPa', 'value': [60.0], 'units': '(10^6.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['MnSi1.75']}}}}]"
6277,{ figure of merit }:  of Ba0.05In0.15Co4Sb11.5Te0.5 under 1 GPa shows the maximum value of 4.01 × 10−4 K−1 at room temperature.),"[{'Pressure': {'raw_value': '1', 'raw_units': 'GPa', 'value': [1.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'under', 'compound': {'Compound': {'names': ['Ba0.05In0.15Co4Sb11.5Te0.5']}}}}]"
6283, a dimensionless thermoelectric figure of merit (ZT) of 0.92 at 710 K was achieved for n-type Co4Sb11.5Te0.5 synthesized at 1.8 GPa.),"[{'Pressure': {'raw_value': '1.8', 'raw_units': 'GPa', 'value': [1.8], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['n-type Co4Sb11.5Te0.5']}}}}]"
6286, a maximum ZT value of 0.92 was obtained for Co4Sb11.5Te0.5 synthesized at 1.8 GPa at 710 K.),"[{'Pressure': {'raw_value': '1.8', 'raw_units': 'GPa', 'value': [1.8], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Co4Sb11.5Te0.5']}}}}]"
6482,Zhang et al. [] induced strain into SnSe by pressuring and ZT values of p-type along the b and c directions can reach as high as 2.5 and 1.7 at 6 GPa and 700 K),"[{'Pressure': {'raw_value': '6', 'raw_units': 'GPa', 'value': [6.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['SnSe']}}}}]"
6774,We developed Mg2Si-based thermoelectric nanocomposites with enhanced fracture toughness (~1.88 MPa m1/2) and a high ZT of 0.6 at 873 K by the introduction of 3 vol.% few-layered rGO (~5 nm in thickness).),
6836,{ maximum ZT }:  1.2 for Ge0.5Sn0.25Pb0.25Te by melting and heat treatment and 0.84 at 720 K for (Ag0.5Sb0.5Te)20(Pb0.16Ge0.84Te)80 by hot pressing .),
7037, and then spin-coated the mixture to yield thin films with a ZT of 0.2 at 300 K. Bae et al. enhanced the TE properties of PEDOT:PSS by adding Te nanorods and using chemical treatment.),
7299,{ highest figure of merit }:  although there has been a report of an estimated ZT > 2 at 300 K in Bi0.5Sb1.5Te3 alloy under a hydrostatic pressure of 2 GPa .),"[{'Pressure': {'raw_value': '2', 'raw_units': 'GPa', 'value': [2.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Bi0.5Sb1.5Te3 alloy']}}}}]"
7415,A maximum value of ZT = 0.77 is obtained in p-type LiScGe at 50 GPa and 700 K.),"[{'Pressure': {'raw_value': '50', 'raw_units': 'GPa', 'value': [50.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['p-type LiScGe']}}}}]"
7416,A maximum value of ZT=0.77 is obtained in p-type LiScGe at 50 GPa and 700 K),"[{'Pressure': {'raw_value': '50', 'raw_units': 'GPa', 'value': [50.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['p-type LiScGe']}}}}]"
7418,A maximum value of ZT=0.77 is obtained in p-type LiScGe at 50 GPa and 700 K.),"[{'Pressure': {'raw_value': '50', 'raw_units': 'GPa', 'value': [50.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['p-type LiScGe']}}}}]"
7456, Cho et al. reported a peak ZT ∼ 0.9 at 740 K for Yb0.95Fe3.5Pt0.5Sb12 made by hot pressing of the ground powder at 903 K at a pressure of 50 MPa.),"[{'Pressure': {'raw_value': '50', 'raw_units': 'MPa', 'value': [50.0], 'units': '(10^6.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Yb0.95Fe3.5Pt0.5Sb12']}}}}]"
7869, the maximum ZT has reached 1.4 at 432 K from synthesized BiSbTe3 at 2.5 GPa in a short period.),"[{'Pressure': {'raw_value': '2.5', 'raw_units': 'GPa', 'value': [2.5], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['BiSbTe3']}}}}]"
7872, the maximum ZT value from synthesized BiSbTe3 at 2.5 GPa reached 1.4 at 432 K),"[{'Pressure': {'raw_value': '2.5', 'raw_units': 'GPa', 'value': [2.5], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['BiSbTe3']}}}}]"
7873, the maximum ZT value is 1.4 at 432 K from synthesized BiSbTe3 at 2.5 GPa.),"[{'Pressure': {'raw_value': '2.5', 'raw_units': 'GPa', 'value': [2.5], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['BiSbTe3']}}}}]"
7970,{  at 673 K }:  0.25) in dependence on temperature studied by synchrotron powder diffraction 64 Donors impurity band effect on TiCo 1H11002x Ni x Sb conduction: Donor impurities 19 Doping dependence of H-storage performance on preparation conditions in TiF 3 doped NaAlH 4 217 3d Electrons positron annihilation in B-doped and undoped single and polycrystalline Ni 3 Al alloys 228 Electrical conduction impurity band effect on TiCo 1H11002x Ni x Sb conduction: Donor impurities 19 Electrical resistivity thermoelectric and structural properties of Zn 4 Sb 3 under hydrostatic pres- sure 232 Electrical transport effect of disorder on the electrical resistivity in the partially crystalline Zr 76 Ni 24 metallic glasses 12 Electrochemical characteristics microstructure and electrochemical performance of vanadium-containing AB 5 -type low-Co intermetallic hydrides 258 Electrochemical impedance spectroscopy microstructure and electrochemical performance of vanadium-containing AB 5 -type low-Co intermetallic hydrides 258 Electrochemical property electrochemical properties of rare-earth based hydrogen storage alloy for replacing Pt as the anode electrocatalyst in AFC 223 the effects of sintering temperature on the phase structure and electro- chemical properties of AB 5 –5 mass% LaMg 3 composite alloy 289 Electrochemical reactions electrochemical hydrogen storage of ball-milled CeMg 12 and PrMg 12 alloys with Ni powders 236 Electrode materials a novel synthesis of Zn 2 SiO 4 thin film on n-type ZnO semiconductor elec- trode and its electrochemical luminescence under the anodic polariza- tion 163 Fe–Al–Zr alloy nano-amorphous (FeAl) 1H11002x Zr x alloys prepared by mechanical alloying 314 Ferromagnetic state effects of alloying and pressure on magnetic properties of (U 1H11002x Th x ) 3 Al 2 M 3 (M = Si and Ge) 8 Figure of merit preparation and thermoelectric properties of La x FeCo 3 Sb 12 skutterudites by mechanical alloying and hot pressing 105 Filled skutterudite preparation and thermoelectric properties of La x FeCo 3 Sb 12 skutterudites by mechanical alloying and hot pressing 105 Flashlamp pumping Nd 3H11001 :Y 3 Al 5 O 12 laser ceramics: Flashlamp pumped laser operation with a UV cut filter 195 Gas–solid reaction hydrogen adsorption and desorption by carbon materials 204 Gd 5 Ge 2 Si 2 giant magnetocaloric effect enhanced by Pb-doping in Gd 5 Si 2 Ge 2 com- pound 49 Graphite effect of mechanical grinding in argon and hydrogen atmosphere on microstructure of graphite 141 Hard metals microstructural characterization and wear behavior of (Fe),
7971,{ Figure of merit at 673 K }:  and V metals by hydrogen plasma arc melting and thermodynamic estimation of hydride and sulfide forma- tion 209 Hydrogen absorbing materials electrochemical hydrogen storage of ball-milled CeMg 12 and PrMg 12 alloys with Ni powders 236 Hydrogen atmosphere effect of mechanical grinding in argon and hydrogen atmosphere on microstructure of graphite 141 Hydrogen diffusion coefficient microstructure and electrochemical performance of vanadium-containing AB 5 -type low-Co intermetallic hydrides 258 Hydrogen storage dependence of H-storage performance on preparation conditions in TiF 3 doped NaAlH 4 217 hydrogen-storage properties of amorphous Mg–Ni–Nd alloys 279 Hydrogen storage alloy electrochemical properties of rare-earth based hydrogen storage alloy for replacing Pt as the anode electrocatalyst in AFC 223 the effects of sintering temperature on the phase structure and electrochemical properties of AB 5 –5 mass% LaMg 3 composite alloy 289 Hydrogen storage materials a general initial decomposition reaction for complex metal hydrides 54 catalytic effects of metal oxide on hydrogen absorption of magnesium metal hydride 179 alkali metal hydride doping of H9251-AlH 3 for enhanced H 2 desorption kinetics 185 Hypereutectic Al–Si alloys effect of La 2 O 3 in the Al–P–Ti–TiC–La 2 O 3 modifier on primary silicon in hypereutectic Al–Si alloys 128 IMC effects of addition participation in the interfacial reaction on the growth patterns of Cu 6 Sn 5 -based IMCs during reflow process 283 Impurities in semiconductors a novel synthesis of Zn 2 SiO 4 thin film on n-type ZnO semiconductor elec- trode and its electrochemical luminescence under the anodic polariza- tion 163 Impurity band impurity band effect on TiCo 1H11002x Ni x Sb conduction: Donor impurities 19 Inorganic materials solid–liquid equilibria in the quasi-ternary system CdS–Ga 2 S 3 –GeS 2 91 Intermetallic hydrides microstructure and electrochemical performance of vanadium-containing AB 5 -type low-Co intermetallic hydrides 258 Intermetallic solid solution impurity band effect on TiCo 1H11002x Ni x Sb conduction: Donor impurities 19 Intermetallics polar binary Zn/Cd-rich intermetallics: Synthesis),
7980,{ Figure of merit at room temperature }: 51 GPa 265 far infrared properties of PbTe doped with cerium 292 Insulating films DC-conduction mechanism in crystalline oxidised La and La–Mn films grown on p-Si substrate 6 Inter-diffusion inter-diffusion between Co 3 O 4 coatings and the oxide scale on Fe-22Cr 193 Interfaces the effect of palladium additions on the solidus/liquidus temperatures and wetting properties of Ag–CuO based air brazes 184 Intermetallic compound reactive wetting of Sn0.7Cu–xZn lead-free solders on Cu substrate 302 Intermetallics crystal structure and electrical resistivity studies of Gd(Fe 1H11002x Co x ) 2 intermetallics 53 high-temperature sliding wear resistance of a ductile metal-toughened Cr 13 Ni 5 Si 2 ternary metal silicide alloy 114 Iron disilicide microstructures and thermoelectric properties of Co-doped iron disilicides prepared by rapid solidification and hot pressing 338 K-doped LaMnO 3 structure and magnetic properties of substitution of K for La in LaMnO 3 perovskite 41 Kirkendall voids inter-diffusion between Co 3 O 4 coatings and the oxide scale on Fe-22Cr 193 La deficiency Ac magnetic susceptibility of the self-doped manganites La 0.9H11002x Sr 0.1 MnO 3 (x = 0.02 and 0.03) 11 Lacunar structure and magnetic properties of lanthanum and calcium-deficient La 0.5 Ca 0.5 MnO 3 manganites 63 Lanthana DC-conduction mechanism in crystalline oxidised La and La–Mn films grown on p-Si substrate 6 Lanthanum–manganese oxide DC-conduction mechanism in crystalline oxidised La and La–Mn films grown on p-Si substrate 6 Large magnetoresistance structural and magnetic properties of the double perovskite LaKFeMoO 6 compound L1 Laser high-temperature sliding wear resistance of a ductile metal-toughened Cr 13 Ni 5 Si 2 ternary metal silicide alloy 114 Lead tungstate effects of polyvinylpyrrolidone and cetyltrimethylammonium bromide on morphology of lead tungstate particles 73 Linear heating comments on “Precipitation kinetics of Al–1.12Mg 2 Si–0.35Si and Al–1.07Mg 2 Si–0.33Cu alloys” L4 Ln 0.95 MnO 3H11001H9254 high temperature thermal expansion and electrical conductivity of Ln 0.95 MnO 3H11001H9254 (Ln = La),
7999,{ Figure of merit at room temperature }: 51 GPa 265 Titanium matrix composites microstructural characterization of Y 2 O 3 in in situ synthesized titanium matrix composites 140 Transition metal ions combustion synthesis and photocatalytic properties of transition metal- incorporated ZnO 237 Transition metal ternary carbides on the low temperature heat capacities of Ti 2 AlN and Ti 2 Al(N 0.5 C 0.5 ) 59 Transmission electron microscopy TEM studies of the initial stage growth and morphologies of bamboo- shaped carbon nanotubes synthesized by CVD 79 new crystalline phases formed in a slowly-cooled Zr-based metallic glass 120 Transparency synthesis of highly sinterable YAG nanopowders by a modified co- precipitation method 328 Wear high-temperature sliding wear resistance of a ductile metal-toughened Cr 13 Ni 5 Si 2 ternary metal silicide alloy 114 X-ray diffraction pressure- and temperature-dependent X-ray diffraction studies of NdCrO 3 91 oxidation behavior of multicomponent Zr-based amorphous alloys 162 aging response of the Ti–35Nb–7Zr–5Ta and Ti–35Nb–7Ta alloys 207 growth),
8229, the maximum ZT value is 1.3 at 510 K from the synthesized Bi0.5Sb1.5Te3 at 3.8 GPa),"[{'Pressure': {'raw_value': '3.8', 'raw_units': 'GPa)', 'value': [3.8], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Bi0.5Sb1.5Te3']}}}}]"
8230,The synthesized Bi0.5Sb1.5Te3 at 3.8 GPa exhibits a maximum ZT of 1.3 at 510 K),"[{'Pressure': {'raw_value': '3.8', 'raw_units': 'GPa', 'value': [3.8], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Bi0.5Sb1.5Te3']}}}}]"
8231,It should be noted that the average ZT value achieves 1.25 in 125 °C–207 °C for the synthesized Bi0.5Sb1.5Te3 at 3.8 GPa),"[{'Pressure': {'raw_value': '3.8', 'raw_units': 'GPa)', 'value': [3.8], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Bi0.5Sb1.5Te3']}}}}]"
8232, the maximum and average ZT values are 1.3 at 510 K and 1.1 in 320–550 K from the synthesized Bi0.5Sb1.5Te3 at 3.8 GPa.),"[{'Pressure': {'raw_value': '3.8', 'raw_units': 'GPa', 'value': [3.8], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Bi0.5Sb1.5Te3']}}}}]"
8429,{ figure of merit at 493 K }:  improved by a factor about 1.5 by comparison with Bi0.82Sb0.18 alloy prepared by a conventional single PECS heat treatment.),
8581,"The annealed sample showed a turning point at 673 K, and the sample with an annealing treatment time of 12 h at 723 K possessed a relatively high ZT value of 0.03, which is almost the same as the value reported for CuFeS2 synthesized by a solid-state reaction method.)",
8597,A maximum ZT value of In0.05Ba0.15Co4Sb11.5Te0.5 sample prepared at 2 GPa reached 1.23 at 765 K.),"[{'Pressure': {'raw_value': '2', 'raw_units': 'GPa', 'value': [2.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['In0.05Ba0.15Co4Sb11.5Te0.5']}}}}]"
8666,"The maximum ZT of reaction products is 0.97 at 365 K, which is from a synthesized Bi2Te3 at 2 GPa in a short period.)","[{'Pressure': {'raw_value': '2', 'raw_units': 'GPa', 'value': [2.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Bi2Te3']}}}}]"
8668,The ZT value of synthesized Bi2Te3 at 2 GPa has reached 0.97 at 365 K),"[{'Pressure': {'raw_value': '2', 'raw_units': 'GPa', 'value': [2.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Bi2Te3']}}}}]"
8670, the experiments detailed herein achieve a significantly high ZT value of 0.97 at 365 K from synthesized Bi2Te3 at 2 GPa.),"[{'Pressure': {'raw_value': '2', 'raw_units': 'GPa', 'value': [2.0], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Bi2Te3']}}}}]"
8830,ZT as good as 0.36 at 1073 K were reported for CCO synthesised by calcining the nitrate hydrate precursors followed by cold pressing at 200 MPa and sintering at 1173 K.),"[{'Pressure': {'raw_value': '200', 'raw_units': 'MPa', 'value': [200.0], 'units': '(10^6.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['CCO']}}}}]"
